,Date,Open,High,Low,Close,Adj.Close,Volume
1,01/03/2005,1.156786,1.162679,1.117857,1.130179,0.961916,691992000
2,01/04/2005,1.139107,1.169107,1.124464,1.141786,0.971795,1096810400
3,01/05/2005,1.151071,1.165179,1.14375,1.151786,0.980306,680433600
4,01/06/2005,1.154821,1.159107,1.130893,1.152679,0.981066,705555200
5,01/07/2005,1.160714,1.243393,1.15625,1.236607,1.052499,2227450400
6,01/10/2005,1.246964,1.2625,1.212143,1.231429,1.048092,1725309600
7,01/11/2005,1.21875,1.234821,1.145357,1.152857,0.981218,2611627200
8,01/12/2005,1.16875,1.176786,1.130357,1.168929,0.994897,1919702400
9,01/13/2005,1.31625,1.328929,1.245179,1.246429,1.060859,3164716800
10,01/14/2005,1.254464,1.280714,1.235536,1.253571,1.066937,1770742400
11,01/18/2005,1.247321,1.2625,1.209821,1.261607,1.073777,1006460000
12,01/19/2005,1.25875,1.276071,1.245536,1.247857,1.062074,751895200
13,01/20/2005,1.24375,1.272679,1.240536,1.258214,1.070889,914922400
14,01/21/2005,1.273393,1.278571,1.25,1.25875,1.071345,911332800
15,01/24/2005,1.2675,1.281786,1.259821,1.263571,1.075449,841629600
16,01/25/2005,1.274464,1.300714,1.266786,1.286607,1.095055,969231200
17,01/26/2005,1.2975,1.299107,1.271786,1.290179,1.098095,739496800
18,01/27/2005,1.288571,1.302143,1.277679,1.297143,1.104023,496227200
19,01/28/2005,1.296786,1.321071,1.293571,1.321071,1.124388,801612000
20,01/31/2005,1.331786,1.390893,1.330536,1.373214,1.168768,1681097600
21,02/01/2005,1.375893,1.38875,1.3675,1.384464,1.178342,678395200
22,02/02/2005,1.391964,1.426964,1.387321,1.421964,1.210259,1020062400
23,02/03/2005,1.4125,1.418393,1.380893,1.389464,1.182598,731651200
24,02/04/2005,1.390536,1.409464,1.384464,1.407857,1.198253,563556000
25,02/07/2005,1.409464,1.416964,1.383929,1.409643,1.199773,524456800
26,02/08/2005,1.411964,1.453214,1.406964,1.444643,1.229562,890019200
27,02/09/2005,1.447143,1.464107,1.394643,1.406071,1.196733,1191456000
28,02/10/2005,1.405714,1.415714,1.368929,1.399286,1.190958,1093019200
29,02/11/2005,1.426071,1.46,1.409643,1.450179,1.234274,1201054400
30,02/14/2005,1.477321,1.514107,1.465179,1.51125,1.286253,1271463200
31,02/15/2005,1.5475,1.590714,1.535714,1.57875,1.343703,2312217600
32,02/16/2005,1.574107,1.610714,1.559821,1.609464,1.369844,1639243200
33,02/17/2005,1.61875,1.622857,1.561607,1.568036,1.334584,1518473600
34,02/18/2005,1.566786,1.568929,1.540179,1.550179,1.319386,1163254400
35,02/22/2005,1.541071,1.576786,1.523036,1.523036,1.296284,1219293600
36,02/23/2005,1.548571,1.579464,1.527679,1.575536,1.340968,1345181600
37,02/24/2005,1.58,1.594821,1.566607,1.588036,1.351606,1519028000
38,02/25/2005,1.600357,1.605536,1.574821,1.589107,1.352519,915510400
39,02/28/2005,1.595714,1.612143,1.57,1.602143,1.363613,651610400
40,03/01/2005,1.606786,1.611071,1.577143,1.589286,1.352671,468188000
41,03/02/2005,1.580357,1.603214,1.574286,1.575714,1.341119,458161200
42,03/03/2005,1.584643,1.586071,1.472143,1.4925,1.270294,1411653600
43,03/04/2005,1.527143,1.536071,1.494643,1.528929,1.301299,756618800
44,03/07/2005,1.528571,1.544643,1.5125,1.526786,1.299476,450632000
45,03/08/2005,1.496429,1.505714,1.432143,1.4475,1.231994,1021451200
46,03/09/2005,1.415714,1.438571,1.386786,1.405357,1.196125,1322465200
47,03/10/2005,1.411786,1.437857,1.396429,1.4225,1.210716,777109200
48,03/11/2005,1.436071,1.449643,1.421429,1.438214,1.22409,632830800
49,03/14/2005,1.447143,1.456786,1.411429,1.44,1.225611,605385200
