,Date,InterestRate,UnemploymentRate,TotalDebt,GDP
1,01/01/2005,3.25,5.3,60.91302,12767.286
2,02/01/2005,3.5,5.4,NA,NA
3,03/01/2005,3.75,5.2,NA,NA
4,04/01/2005,3.75,5.2,60.64153,12922.656
5,05/01/2005,4,5.1,NA,NA
6,06/01/2005,4.25,5,NA,NA
7,07/01/2005,4.25,5,60.35856,13142.642
8,08/01/2005,4.5,4.9,NA,NA
9,09/01/2005,4.75,5,NA,NA
10,10/01/2005,4.75,5,61.32008,13324.204
11,11/01/2005,5,5,NA,NA
12,12/01/2005,5.25,4.9,NA,NA
13,01/01/2006,5.5,4.7,61.55642,13599.16
14,02/01/2006,5.5,4.8,NA,NA
15,03/01/2006,5.75,4.7,NA,NA
16,04/01/2006,5.75,4.7,61.22142,13753.424
17,05/01/2006,6,4.6,NA,NA
18,06/01/2006,6.25,4.6,NA,NA
19,07/01/2006,6.25,4.7,61.3328,13870.188
20,08/01/2006,6.25,4.7,NA,NA
21,09/01/2006,6.25,4.5,NA,NA
22,10/01/2006,6.25,4.4,61.82689,14039.56
23,11/01/2006,6.25,4.5,NA,NA
24,12/01/2006,6.25,4.4,NA,NA
25,01/01/2007,6.25,4.6,62.25297,14215.651
26,02/01/2007,6.25,4.5,NA,NA
27,03/01/2007,6.25,4.4,NA,NA
28,04/01/2007,6.25,4.5,61.57219,14402.082
29,05/01/2007,6.25,4.4,NA,NA
30,06/01/2007,6.25,4.6,NA,NA
31,07/01/2007,6.25,4.7,61.84826,14564.117
32,08/01/2007,5.75,4.6,NA,NA
33,09/01/2007,5.25,4.7,NA,NA
34,10/01/2007,5,4.7,62.71924,14715.058
35,11/01/2007,5,4.7,NA,NA
36,12/01/2007,4.75,5,NA,NA
37,01/01/2008,3.5,5,64.17278,14706.538
38,02/01/2008,3.5,4.9,NA,NA
39,03/01/2008,2.5,5.1,NA,NA
40,04/01/2008,2.25,5,63.85172,14865.701
41,05/01/2008,2.25,5.4,NA,NA
42,06/01/2008,2.25,5.6,NA,NA
43,07/01/2008,2.25,5.8,67.28455,14898.999
44,08/01/2008,2.25,6.1,NA,NA
45,09/01/2008,2.25,6.1,NA,NA
46,10/01/2008,1.25,6.5,73.24516,14608.208
47,11/01/2008,1.25,6.8,NA,NA
48,12/01/2008,0.5,7.3,NA,NA
49,01/01/2009,0.5,7.8,77.10496,14430.901
50,02/01/2009,0.5,8.3,NA,NA
51,03/01/2009,0.5,8.7,NA,NA
52,04/01/2009,0.5,9,80.28013,14381.236
53,05/01/2009,0.5,9.4,NA,NA
54,06/01/2009,0.5,9.5,NA,NA
55,07/01/2009,0.5,9.5,82.42733,14448.882
56,08/01/2009,0.5,9.6,NA,NA
57,09/01/2009,0.5,9.8,NA,NA
58,10/01/2009,0.5,10,84.02935,14651.248
59,11/01/2009,0.5,9.9,NA,NA
60,12/01/2009,0.5,9.9,NA,NA
61,01/01/2010,0.5,9.8,86.51175,14764.611
62,02/01/2010,0.75,9.8,NA,NA
63,03/01/2010,0.75,9.9,NA,NA
64,04/01/2010,0.75,9.9,88.12832,14980.193
65,05/01/2010,0.75,9.6,NA,NA
66,06/01/2010,0.75,9.4,NA,NA
67,07/01/2010,0.75,9.4,89.56529,15141.605
68,08/01/2010,0.75,9.5,NA,NA
69,09/01/2010,0.75,9.5,NA,NA
70,10/01/2010,0.75,9.4,91.61136,15309.471
71,11/01/2010,0.75,9.8,NA,NA
72,12/01/2010,0.75,9.3,NA,NA
73,01/01/2011,0.75,9.1,92.95617,15351.444
74,02/01/2011,0.75,9,NA,NA
75,03/01/2011,0.75,9,NA,NA
