name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,	ResearchAndDevelopment,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,			NetIncomeFromTaxLossCarryforward,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
ttm,"387,537,000,000","387,537,000,000","220,666,000,000","166,871,000,000","52,906,000,000","25,252,000,000","27,654,000,000",,,,"113,965,000,000","-197,000,000","3,043,000,000","3,240,000,000",,"-283,000,000",,,,,"-283,000,000","113,485,000,000","18,314,000,000","95,171,000,000","95,171,000,000","95,171,000,000","95,171,000,000",,,"95,171,000,000",,,,,"113,965,000,000","273,572,000,000","95,171,000,000","95,171,000,000","3,043,000,000","3,240,000,000","-197,000,000","116,725,000,000","128,048,000,000","220,666,000,000","11,323,000,000","95,171,000,000",,,"128,048,000,000",0.161,0
12/31/2022,"117,154,000,000","117,154,000,000","66,822,000,000","50,332,000,000","14,316,000,000","6,607,000,000","7,709,000,000",,,,"36,016,000,000","-135,000,000","868,000,000","1,003,000,000",,"-258,000,000",,,,,"-258,000,000","35,623,000,000","5,625,000,000","29,998,000,000","29,998,000,000","29,998,000,000","29,998,000,000",,,"29,998,000,000",1.89,1.88,"15,892,723,000","15,955,718,000","36,016,000,000","81,138,000,000","29,998,000,000","29,998,000,000","868,000,000","1,003,000,000","-135,000,000","36,626,000,000",,"66,822,000,000","2,916,000,000","29,998,000,000",,,"39,542,000,000",0.158,0
09/30/2022,"90,146,000,000","90,146,000,000","52,051,000,000","38,095,000,000","13,201,000,000","6,440,000,000","6,761,000,000",,,,"24,894,000,000","-74,000,000","753,000,000","827,000,000",,"-163,000,000",,,,,"-163,000,000","24,657,000,000","3,936,000,000","20,721,000,000","20,721,000,000","20,721,000,000","20,721,000,000",,,"20,721,000,000",1.29,1.29,"16,030,382,000","16,118,465,000","24,894,000,000","65,252,000,000","20,721,000,000","20,721,000,000","753,000,000","827,000,000","-74,000,000","25,484,000,000",,"52,051,000,000","2,865,000,000","20,721,000,000",,,"28,349,000,000",0.16,0
06/30/2022,"82,959,000,000","82,959,000,000","47,074,000,000","35,885,000,000","12,809,000,000","6,012,000,000","6,797,000,000",,,,"23,076,000,000","3,000,000","722,000,000","719,000,000",,"-13,000,000",,,,,"-13,000,000","23,066,000,000","3,624,000,000","19,442,000,000","19,442,000,000","19,442,000,000","19,442,000,000",,,"19,442,000,000",1.2,1.2,"16,162,945,000","16,262,203,000","23,076,000,000","59,883,000,000","19,442,000,000","19,442,000,000","722,000,000","719,000,000","3,000,000","23,785,000,000",,"47,074,000,000","2,805,000,000","19,442,000,000",,,"26,590,000,000",0.157,0
03/31/2022,"97,278,000,000","97,278,000,000","54,719,000,000","42,559,000,000","12,580,000,000","6,193,000,000","6,387,000,000",,,,"29,979,000,000","9,000,000","700,000,000","691,000,000",,"151,000,000",,,,,"151,000,000","30,139,000,000","5,129,000,000","25,010,000,000","25,010,000,000","25,010,000,000","25,010,000,000",,,"25,010,000,000",1.54,1.52,"16,278,802,000","16,403,316,000","29,979,000,000","67,299,000,000","25,010,000,000","25,010,000,000","700,000,000","691,000,000","9,000,000","30,830,000,000",,"54,719,000,000","2,737,000,000","25,010,000,000",,,"33,567,000,000",0.17,0
12/31/2021,"123,945,000,000","123,945,000,000","69,702,000,000","54,243,000,000","12,755,000,000","6,449,000,000","6,306,000,000",,,,"41,488,000,000","-44,000,000","650,000,000","694,000,000",,"-203,000,000",,,,,"-203,000,000","41,241,000,000","6,611,000,000","34,630,000,000","34,630,000,000","34,630,000,000","34,630,000,000",,,"34,630,000,000",2.11,2.1,"16,391,724,000","16,519,291,000","41,488,000,000","82,457,000,000","34,630,000,000","34,630,000,000","650,000,000","694,000,000","-44,000,000","41,935,000,000",,"69,702,000,000","2,697,000,000","34,630,000,000",,,"44,632,000,000",0.16,0
09/30/2021,"83,360,000,000","83,360,000,000","48,186,000,000","35,174,000,000","11,388,000,000","5,616,000,000","5,772,000,000",,,,"23,786,000,000","-13,000,000","659,000,000","672,000,000",,"-525,000,000",,,,,"-525,000,000","23,248,000,000","2,697,000,000","20,551,000,000","20,551,000,000","20,551,000,000","20,551,000,000",,,"20,551,000,000",1.25,1.24,"16,487,121,000","16,635,097,000","23,786,000,000","59,574,000,000","20,551,000,000","20,551,000,000","659,000,000","672,000,000","-13,000,000","23,920,000,000",,"48,186,000,000","2,989,000,000","20,551,000,000",,,"26,909,000,000",0.116,0
06/30/2021,"81,434,000,000","81,434,000,000","46,179,000,000","35,255,000,000","11,129,000,000","5,412,000,000","5,717,000,000",,,,"24,126,000,000","54,000,000","719,000,000","665,000,000",,"189,000,000",,,,,"189,000,000","24,369,000,000","2,625,000,000","21,744,000,000","21,744,000,000","21,744,000,000","21,744,000,000",,,"21,744,000,000",1.31,1.3,"16,629,371,000","16,781,735,000","24,126,000,000","57,308,000,000","21,744,000,000","21,744,000,000","719,000,000","665,000,000","54,000,000","25,034,000,000",,"46,179,000,000","2,832,000,000","21,744,000,000",,,"27,866,000,000",0.108,0
03/31/2021,"89,584,000,000","89,584,000,000","51,505,000,000","38,079,000,000","10,576,000,000","5,314,000,000","5,262,000,000",,,,"27,503,000,000","48,000,000","718,000,000","670,000,000",,"460,000,000",,,,,"460,000,000","28,011,000,000","4,381,000,000","23,630,000,000","23,630,000,000","23,630,000,000","23,630,000,000",,,"23,630,000,000",1.41,1.4,"16,753,476,000","16,929,157,000","27,503,000,000","62,081,000,000","23,630,000,000","23,630,000,000","718,000,000","670,000,000","48,000,000","28,681,000,000",,"51,505,000,000","2,797,000,000","23,630,000,000",,,"31,478,000,000",0.156,0
12/31/2020,"111,439,000,000","111,439,000,000","67,111,000,000","44,328,000,000","10,794,000,000","5,631,000,000","5,163,000,000",,,,"33,534,000,000","109,000,000","747,000,000","638,000,000",,"-64,000,000",,,,,"-64,000,000","33,579,000,000","4,824,000,000","28,755,000,000","28,755,000,000","28,755,000,000","28,755,000,000",,,"28,755,000,000",1.7,1.68,"16,935,119,000","17,113,688,000","33,534,000,000","77,905,000,000","28,755,000,000","28,755,000,000","747,000,000","638,000,000","109,000,000","34,217,000,000",,"67,111,000,000","2,666,000,000","28,755,000,000",,,"36,883,000,000",0.144,0
