name,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,"2,608,089,578,640","2,667,844,578,640",27.565,27.473,2.746,6.781,45.284,6.884,20.835
12/31/2022,"2,066,941,771,740","2,138,706,771,740",21.265,21.277,2.533,5.379,40.622,18.256,54.087
09/30/2022,"2,203,381,335,000","2,274,841,335,000",22.843,21.834,2.473,5.868,37.919,25.235,80.244
06/30/2022,"2,200,560,080,160","2,269,030,080,160",22.231,21.552,2.377,5.874,32.65,27.351,85.334
03/31/2022,"2,830,003,448,480","2,888,888,448,480",28.957,29.07,3.374,7.715,39.343,29.697,86.063
12/31/2021,"2,901,644,912,070","2,963,724,912,070",31.652,31.646,3.791,8.186,45.992,23.912,66.404
09/30/2021,"2,324,390,219,000","2,384,485,219,000",27.637,25.381,1.938,6.937,36.16,28.605,88.613
06/30/2021,"2,267,638,776,320","2,319,449,776,320",30.64,25.773,2.122,7.231,32.78,28.483,83.236
03/31/2021,"2,038,232,155,750","2,073,449,155,750",32.925,28.49,2.707,7.206,30.778,23.145,65.87
12/31/2020,"2,232,278,767,470","2,253,771,767,470",40.454,33.445,3.329,8.472,34.165,20.224,61.106
09/30/2020,"1,966,078,923,030","1,985,776,923,030",35.121,30.121,2.859,7.5,27.2,30.693,108.887
06/30/2020,"1,562,780,947,200","1,578,236,947,200",28.522,24.331,2.023,6.119,19.927,26.443,95.155
03/31/2020,"1,099,546,654,230","1,100,676,654,230",20.023,19.646,1.58,4.341,12.281,18.875,65.996
12/31/2019,"1,287,643,210,350","1,295,133,210,350",24.697,22.173,2.029,5.247,14.23,14.105,43.875
09/30/2019,"995,151,566,920","1,008,955,566,920",19.013,17.271,2.036,4.09,10.317,15.755,50.157
06/30/2019,"910,644,764,000","943,182,764,000",16.576,15.974,1.45,3.684,8.472,17.528,60.037
03/31/2019,"895,667,436,000","923,970,436,000",15.57,16.584,1.821,3.561,7.423,15.926,51.783
12/31/2018,"746,079,125,220","794,261,125,220",13.244,12.077,1.25,2.97,6.963,9.421,28.174
09/30/2018,"1,090,307,495,240","1,133,937,495,240",20.41,16.695,1.285,4.496,9.338,18.028,56.575
06/30/2018,"909,841,195,180","943,741,195,180",17.833,14.43,1.11,3.861,7.066,17.718,56.192
03/31/2018,"851,317,901,140","896,564,901,140",17.226,14.97,1.092,3.654,5.916,14.665,45.513
12/31/2017,"860,882,486,880","902,381,486,880",18.375,14.903,1.399,3.877,6.415,10.22,29.578
09/30/2017,"796,064,939,360","827,644,939,360",17.454,14.245,2.087,3.657,5.966,15.741,48.494
06/30/2017,"750,897,236,800","782,318,236,800",16.786,13.947,2.043,3.504,5.6,17.229,54.846
03/31/2017,"753,717,936,400","780,814,936,400",17.123,16.026,2.463,3.579,5.693,14.761,44.501
12/31/2016,"608,960,249,120","628,837,249,120",13.937,12.903,2.056,2.954,4.746,8.026,22.708
09/30/2016,"603,253,566,300","626,432,566,300",13.161,12.658,2.428,2.86,4.767,13.37,41.251
06/30/2016,"515,586,574,000","540,175,574,000",10.599,10.661,1.196,2.373,3.952,12.753,40.3
03/31/2016,"597,095,829,540","621,984,829,540",11.546,11.655,1.248,2.654,4.655,12.303,36.717
12/31/2015,"583,612,701,620","606,473,701,620",11.416,10.56,1.065,2.609,4.89,7.993,21.813
09/30/2015,"615,336,455,900","635,051,455,900",12.722,11.038,0.794,2.884,4.896,12.331,34.478
06/30/2015,"715,599,795,000","726,374,795,000",15.485,12.531,0.901,3.509,5.547,14.643,40.904
03/31/2015,"717,000,251,540","720,940,251,540",16.724,13.021,0.965,3.746,5.814,12.428,33.997
12/31/2014,"643,120,129,220","653,338,129,220",17.113,14.085,1.226,3.697,5.765,8.758,24.089
09/30/2014,"591,015,720,750","584,250,720,750",16.201,13.793,1.391,3.518,4.887,13.87,43.099
06/30/2014,"556,573,661,030","532,185,661,030",15.485,13.038,1.398,3.339,4.631,14.217,42.473
03/31/2014,"462,533,011,299","438,783,011,299",13.273,10.977,1.355,2.839,3.567,9.613,27.789
12/31/2013,"500,740,634,880","477,154,634,880",14.114,12.5,1.478,3.058,4.053,8.285,23.933
09/30/2013,"428,699,797,749","403,051,797,749",11.886,10.811,1.174,2.649,3.475,10.756,33.562
06/30/2013,"372,202,487,969","333,065,487,969",9.468,8.599,0.9,2.221,2.659,9.429,29.786
03/31/2013,"415,683,414,279","375,863,414,279",10.04,8.496,0.903,2.545,3.268,8.62,26.376
12/31/2012,"499,695,984,431","459,875,984,431",12.07,8.905,0.48,3.059,3.924,8.436,24.464
09/30/2012,"625,348,229,629","597,694,229,629",15.686,13.004,0.72,4.228,5.607,16.618,50.121
06/30/2012,"546,076,207,999","517,538,207,999",14.237,10.953,0.588,3.86,5.34,14.777,41.71
03/31/2012,"559,002,433,500","528,846,433,500",17.071,11.186,0.55,4.403,6.225,13.496,32.799
12/31/2011,"377,518,850,144","351,566,850,144",14.632,10.341,0.573,3.504,4.928,7.588,19.466
09/30/2011,"354,351,905,639","328,399,905,639",13.776,11.574,0.628,3.299,4.625,11.617,35.491
06/30/2011,"311,133,791,496","282,738,791,496",13.283,11.601,0.676,3.125,4.487,9.896,28.675
03/31/2011,"322,255,851,587","293,021,851,587",16.611,13.089,0.809,3.711,5.242,11.879,35.27
12/31/2010,"297,091,798,456","270,114,798,456",18.01,14.286,0.95,3.924,5.435,10.101,33.009
09/30/2010,"259,906,501,687","234,286,501,687",18.729,,,4.023,5.438,11.517,40.562
06/30/2010,"229,768,214,740","205,480,214,740",23.955,,,4.568,5.33,13.088,45.591
03/31/2010,"213,764,415,584","190,609,415,584",26.111,,,4.813,5.433,14.12,45.437
12/31/2009,"190,982,656,777","166,186,656,777",28.248,,,4.762,5.339,10.597,33.682
09/30/2009,"166,778,949,424","143,314,949,424",29.467,,,4.601,5.992,14.52,59.964
06/30/2009,"127,579,565,960","103,357,565,960",24.857,,,3.729,4.928,12.397,55.929
03/31/2009,"93,615,007,992","68,602,007,992",18.941,,,2.819,3.851,8.404,37.304
12/31/2008,"75,996,913,763","50,349,913,763",15.864,,,2.332,3.317,4.952,22.045
09/30/2008,"100,688,632,743","76,198,632,743",21.205,,,3.157,4.788,9.652,48.349
06/30/2008,"148,309,420,080","127,535,420,080",32.767,,,4.891,7.558,17.087,84.517
03/31/2008,"126,485,348,930","107,037,348,930",29.588,,,4.476,7.006,14.249,74.799
12/31/2007,"174,038,805,975","155,590,805,975",43.534,,,6.679,10.357,16.194,69.709
09/30/2007,"133,876,327,332","120,109,327,332",43.353,,,6.004,9.988,19.319,104.171
06/30/2007,"106,130,982,148","93,553,982,148",38.62,,,4.987,8.656,17.293,83.381
03/31/2007,"80,362,320,816","68,493,320,816",33.663,,,3.953,7.157,13.012,64.923
12/31/2006,"72,981,055,552","62,871,055,552",37.375,,,3.854,7.31,8.836,45.037
09/30/2006,"65,838,112,484","56,662,112,484",35.669,,,3.708,7.057,11.714,54.535
06/30/2006,"48,850,601,512","39,674,601,512",26.537,,,2.759,5.236,9.079,63.683
03/31/2006,"53,261,081,207","45,035,081,207",31.706,,,3.154,6.135,10.332,77.781
12/31/2005,"60,791,418,638","56,302,418,638",46.137,,,4.421,8.142,9.793,70.203
09/30/2005,"44,765,388,104","40,276,388,104",34.406,,,3.297,5.996,10.951,85.877
06/30/2005,"30,477,987,125","25,988,987,125",30.77,,,2.461,4.468,7.383,54.945
03/31/2005,"34,300,108,289","29,811,108,289",46.491,,,3.093,5.371,9.192,67.294
12/31/2004,"26,052,957,016","21,563,957,016",51.827,,,2.632,4.5,6.179,45.881
09/30/2004,"15,168,440,158","10,679,440,158",54.378,,,1.813,2.988,4.544,57.109
06/30/2004,"12,534,156,986","8,045,156,986",57.841,,,1.607,2.605,3.995,63.85
03/31/2004,"10,082,008,285","5,593,008,285",59.363,,,1.395,2.245,2.93,55.376
12/31/2003,"7,880,421,416","3,391,421,416",57.29,,,1.163,1.82,1.691,27.799
09/30/2003,"7,598,574,820","3,336,574,820",110.745,,,1.213,1.799,1.946,43.332
06/30/2003,"6,994,879,546","2,756,879,546",,,,1.159,1.666,1.784,46.727
03/31/2003,"5,168,810,089","952,810,089",,,,0.879,1.249,0.646,18.683
12/31/2002,"5,162,486,148","1,020,486,148",270.5,,,0.889,1.254,0.693,39.249
09/30/2002,"5,204,905,340","1,183,905,340",80.713,,,0.914,1.271,0.82,-47.356
06/30/2002,"6,358,915,650","2,360,915,650",30.139,,,1.087,1.584,1.652,34.216
03/31/2002,"8,381,195,713","4,329,195,713",38.604,,,1.448,2.113,2.896,49.761
12/31/2001,"7,718,858,385","3,666,858,385",35.718,,,1.34,1.946,2.667,43.653
09/30/2001,"5,442,794,962","1,541,794,962",91.771,,,0.934,1.411,1.063,12.236
06/30/2001,"8,148,522,569","4,321,522,569",42.837,,,1.334,2.18,2.93,36.936
03/31/2001,"7,648,159,031","3,897,159,031",20.954,,,1.18,2.062,2.723,278.369
12/31/2000,"5,136,793,001","1,485,793,001",6.824,,,0.671,1.274,1.475,-5.586
09/30/2000,"8,643,679,891","5,267,679,891",12.716,,,1.239,2.147,2.817,20.821
06/30/2000,"16,870,664,242","13,494,664,242",25.648,,,2.498,4.19,7.394,69.921
03/31/2000,"22,094,546,879","18,935,546,879",32.806,,,3.36,5.435,9.736,99.139
12/31/1999,"16,576,406,784","13,366,406,784",27.864,,,2.67,3.888,5.705,44.704
09/30/1999,"9,718,289,562","6,942,289,562",16.742,,,1.716,3.29,5.196,46.593
06/30/1999,"7,416,442,131","4,760,442,131",12.552,,,1.378,2.63,3.055,38.703
03/31/1999,"4,911,452,579","3,094,452,579",11.302,,,1.06,2.425,2.023,27.629
12/31/1998,"5,541,188,059","4,067,188,059",15.051,,,1.186,3.125,2.378,19.554
09/30/1998,"5,154,638,703","3,958,638,703",18.156,,,1.078,3.455,2.544,15.109
06/30/1998,"3,819,262,127","2,929,262,127",191.294,,,0.637,2.859,2.089,31.497
03/31/1998,"3,657,252,499","2,960,252,499",,,,0.577,2.954,2.107,37.472
12/31/1997,"1,680,633,431","1,179,633,431",,,,0.257,1.536,0.748,17.348
09/30/1997,"2,774,893,937","2,441,893,937",,,,0.392,2.643,1.513,-12.989
06/30/1997,"1,803,718,868","1,651,718,868",,,,0.232,1.508,0.951,-43.466
03/31/1997,"2,307,509,099","1,933,509,099",,,,0.28,1.858,1.208,-3.641
12/31/1996,"2,600,836,459","1,923,836,459",,,,0.295,1.339,0.904,-19.433
09/30/1996,"2,762,339,435","2,152,339,435",,,,0.281,1.342,0.927,20.696
06/30/1996,"2,599,485,000","2,662,485,000",,,,0.238,1.264,1.222,-156.617
03/31/1996,"3,038,198,339","2,436,198,339",18.332,,,0.266,1.087,1.115,-2.183
12/31/1995,"3,924,509,367","3,736,509,367",9.239,,,0.355,1.353,1.187,-74.73
09/30/1995,"4,579,090,343","3,612,090,343",9.479,,,0.43,1.619,1.203,27.159
06/30/1995,"5,661,268,199","4,694,268,199",11.817,,,0.536,2.002,1.823,21.633
03/31/1995,"4,268,770,436","3,213,770,436",8.275,,,0.422,1.573,1.212,20.734
12/31/1994,"4,675,709,999","4,014,525,999",14.942,,,0.504,1.962,1.418,13.162
09/30/1994,"4,027,115,571","3,365,931,571",12.907,,,0.436,1.69,1.35,8.845
06/30/1994,"3,135,824,499","2,727,953,499",15.681,,,0.355,1.397,1.269,18.57
03/31/1994,"3,928,155,000","3,557,637,000",,,,0.459,1.913,1.713,47.822
12/31/1993,"3,407,478,749","3,036,960,749",,,,0.403,1.66,1.23,28.3
09/30/1993,"2,714,959,354","2,861,759,354",31.589,,,0.343,1.34,1.337,57.697
06/30/1993,"4,566,752,999","4,481,752,999",25.988,,,0.623,2.26,2.407,-16.893
03/31/1993,"6,004,642,499","5,503,942,499",12.44,,,0.834,2.626,2.788,25.974
12/31/1992,"7,040,999,749","6,647,199,749",13.831,,,1.007,3.084,3.323,23.723
09/30/1992,"5,346,387,386","5,032,287,386",10.398,,,0.778,2.444,2.847,26.265
06/30/1992,"5,772,959,999","5,221,859,999",11.483,,,0.865,2.721,3.001,20.216
03/31/1992,"6,970,777,499","6,340,277,499",21.735,,,1.071,3.34,3.695,24.32
12/31/1991,"6,679,896,263","6,195,496,263",21.194,,,1.052,3.474,3.326,19.832
09/30/1991,"5,860,106,999","5,404,606,999",19.186,,,0.942,3.317,3.586,30.16
06/30/1991,"4,875,834,999","4,007,534,999",10.024,,,0.839,2.687,2.622,-113.528
03/31/1991,"8,089,007,999","7,372,707,999",16.585,,,1.451,5.235,4.615,31.711
12/31/1990,"4,915,501,999","4,199,201,999",10.488,,,0.918,3.181,2.506,15.242
09/30/1990,"3,345,410,999","2,705,310,999",6.872,,,0.621,2.22,1.998,13.433
06/30/1990,"5,355,142,999","4,729,342,999",11.188,,,0.996,3.453,3.465,20.368
03/31/1990,"4,901,765,750","4,559,165,750",11.838,,,0.938,3.217,3.387,18.723
12/31/1989,"4,413,370,499","4,031,870,499",9.958,,,0.856,2.971,2.7,16.955
09/30/1989,"5,619,014,999","5,201,214,999",14.263,,,1.089,5.6,3.759,-1.593
06/30/1989,"5,115,659,999","4,697,859,999",13.221,,,1.009,5.098,3.764,3.764
03/31/1989,"4,551,011,146","4,133,211,146",11.567,,,0.945,4.536,3.315,3.315
12/31/1988,"5,133,766,750","4,715,966,750",13.068,,,1.285,5.116,3.356,3.356
09/30/1988,"5,309,715,999","4,891,915,999",14.042,,,1.381,5.292,4.186,-2.143
06/30/1988,"6,038,399,999","5,473,299,999",16.637,,,1.637,7.219,5.511,5.511
03/31/1988,"4,980,839,999","4,415,739,999",16.129,,,1.494,5.954,5.092,5.092
12/31/1987,"5,273,730,000","4,708,630,000",19.811,,,1.734,6.305,4.517,4.517
09/30/1987,"7,123,971,999","6,558,871,999",34.037,,,2.782,8.516,8.339,-4.364
06/30/1987,"5,072,867,999","4,496,667,999",29.779,,,2.127,7.309,7.058,7.058
03/31/1987,"4,039,505,999","3,463,305,999",26.434,,,1.839,5.82,6.02,6.02
12/31/1986,"2,578,270,499","2,002,070,499",16.875,,,1.27,3.715,3.023,3.023
09/30/1986,"2,098,037,999","1,521,837,999",13.959,,,1.13,3.023,2.979,-1.362
06/30/1986,"2,283,850,470","1,946,850,470",15.734,,,1.268,4.149,4.343,4.343
03/31/1986,"1,769,887,559","1,432,887,559",19.089,,,1.025,3.215,3.504,3.504
12/31/1985,"1,359,071,999","1,022,071,999",18.964,,,0.775,2.469,1.914,1.914
09/30/1985,"974,162,239","832,162,239",15.751,,,0.502,1.77,2.031,-0.611
