name,OperatingCashFlow,	CashFlowFromContinuingOperatingActivities,		NetIncomeFromContinuingOperations,		OperatingGainsLosses,			NetForeignCurrencyExchangeGainLoss,			GainLossOnInvestmentSecurities,			EarningsLossesFromEquityInvestments,		DepreciationAmortizationDepletion,			DepreciationAndAmortization,				Depreciation,				AmortizationCashFlow,					AmortizationOfIntangibles,		DeferredTax,			DeferredIncomeTax,		AssetImpairmentCharge,		StockBasedCompensation,		ExcessTaxBenefitFromStockBasedCompensation,		OtherNonCashItems,		ChangeInWorkingCapital,			ChangeInReceivables,				ChangesInAccountReceivables,			ChangeInInventory,			ChangeInPrepaidAssets,			ChangeInPayablesAndAccruedExpense,				ChangeInPayable,					ChangeInAccountPayable,				ChangeInAccruedExpense,					ChangeInInterestPayable,			ChangeInOtherCurrentAssets,			ChangeInOtherCurrentLiabilities,			ChangeInOtherWorkingCapital,InvestingCashFlow,	CashFlowFromContinuingInvestingActivities,		NetPPEPurchaseAndSale,			PurchaseOfPPE,			SaleOfPPE,		NetBusinessPurchaseAndSale,			PurchaseOfBusiness,			SaleOfBusiness,		NetInvestmentPurchaseAndSale,			PurchaseOfInvestment,			SaleOfInvestment,		NetOtherInvestingChanges,FinancingCashFlow,	CashFlowFromContinuingFinancingActivities,		NetIssuancePaymentsOfDebt,			NetLongTermDebtIssuance,				LongTermDebtIssuance,				LongTermDebtPayments,			NetShortTermDebtIssuance,				ShortTermDebtIssuance,				ShortTermDebtPayments,		NetCommonStockIssuance,			CommonStockIssuance,			CommonStockPayments,		CashDividendsPaid,		ProceedsFromStockOptionExercised,		InterestPaidCFF,		NetOtherFinancingCharges,EndCashPosition,	ChangesInCash,	EffectOfExchangeRateChanges,	BeginningCashPosition,	OtherCashAdjustmentOutsideChangeinCash,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
ttm,"46,752,000,000","46,752,000,000","-2,722,000,000",,,,,"41,921,000,000","41,921,000,000","41,921,000,000",,,"-8,148,000,000","-8,148,000,000",,"19,621,000,000",,"16,966,000,000","-20,886,000,000","-21,897,000,000",,"-2,592,000,000",,"1,387,000,000","2,945,000,000","2,945,000,000","-1,558,000,000",,,,"2,216,000,000","-37,601,000,000","-37,601,000,000","-58,321,000,000","-63,645,000,000","5,324,000,000","-8,316,000,000","-8,316,000,000",,"29,036,000,000","-2,565,000,000","31,601,000,000",,"9,718,000,000","9,718,000,000","15,718,000,000","11,719,000,000","21,166,000,000","-9,447,000,000","3,999,000,000","41,553,000,000","-37,554,000,000","-6,000,000,000",,"-6,000,000,000",,,,,"54,253,000,000","18,869,000,000","-1,093,000,000","36,477,000,000",,"6,035,000,000","2,142,000,000","-63,645,000,000",,"62,719,000,000","-47,001,000,000","-6,000,000,000","-16,893,000,000"
12/31/2022,"29,173,000,000","29,173,000,000","278,000,000",,,,,"13,145,000,000","13,145,000,000","12,685,000,000",,,"-3,367,000,000","-3,367,000,000",,"5,606,000,000",,"2,985,000,000","10,526,000,000","-8,788,000,000",,"3,180,000,000",,"15,629,000,000","9,852,000,000","9,852,000,000","5,777,000,000",,,,"505,000,000","-10,821,000,000","-10,821,000,000","-15,440,000,000","-16,592,000,000","1,152,000,000","-831,000,000","-831,000,000",,"5,450,000,000","-233,000,000","5,683,000,000",,"86,000,000","86,000,000","86,000,000","5,276,000,000","8,235,000,000","-2,959,000,000","-5,190,000,000","10,607,000,000","-15,797,000,000",0,,0,,,,,"54,253,000,000","18,438,000,000","637,000,000","35,178,000,000",,"1,695,000,000","768,000,000","-16,592,000,000",,"18,842,000,000","-18,756,000,000",0,"12,581,000,000"
09/30/2022,"11,404,000,000","11,404,000,000","2,872,000,000",,,,,"10,204,000,000","10,204,000,000","10,204,000,000",,,"-825,000,000","-825,000,000",,"5,556,000,000",,"-1,149,000,000","-5,254,000,000","-4,794,000,000","-4,794,000,000","732,000,000",,"-1,246,000,000","-1,226,000,000","-1,226,000,000","-20,000,000",,,,"54,000,000","-15,608,000,000","-15,608,000,000","-15,041,000,000","-16,378,000,000","1,337,000,000","-885,000,000","-885,000,000",,"318,000,000","-239,000,000","557,000,000",,"3,016,000,000","3,016,000,000","3,016,000,000","-1,406,000,000","107,000,000","-1,513,000,000","4,422,000,000","12,338,000,000","-7,916,000,000",0,,0,,,,"-48,000,000","35,178,000,000","-1,188,000,000","-1,334,000,000","37,700,000,000",,"742,000,000","431,000,000","-16,378,000,000",,"12,445,000,000","-9,429,000,000",0,"-4,974,000,000"
06/30/2022,"8,965,000,000","8,965,000,000","-2,028,000,000",,,,,"9,594,000,000","9,594,000,000","9,594,000,000",,,"-1,955,000,000","-1,955,000,000",,"5,209,000,000",,"6,226,000,000","-8,081,000,000","-6,799,000,000","-6,799,000,000","-3,890,000,000",,"2,287,000,000","3,699,000,000","3,699,000,000","-1,412,000,000",,,,"321,000,000","-12,078,000,000","-12,078,000,000","-14,098,000,000","-15,724,000,000","1,626,000,000","-259,000,000","-259,000,000",,"2,279,000,000","-329,000,000","2,608,000,000",,"4,626,000,000","4,626,000,000","7,960,000,000","10,705,000,000","12,824,000,000","-2,119,000,000","-2,745,000,000","4,865,000,000","-7,610,000,000","-3,334,000,000",,"-3,334,000,000",,,,"-59,000,000","37,700,000,000","1,513,000,000","-412,000,000","36,599,000,000",,"3,145,000,000","499,000,000","-15,724,000,000",,"17,689,000,000","-9,729,000,000","-3,334,000,000","-6,759,000,000"
03/31/2022,"-2,790,000,000","-2,790,000,000","-3,844,000,000",,,,,"8,978,000,000","8,978,000,000","8,978,000,000",,,"-2,001,000,000","-2,001,000,000",,"3,250,000,000",,"8,904,000,000","-18,077,000,000","-1,516,000,000","-1,516,000,000","-2,614,000,000",,"-15,283,000,000","-9,380,000,000","-9,380,000,000","-5,903,000,000",,,,"1,336,000,000","906,000,000","906,000,000","-13,742,000,000","-14,951,000,000","1,209,000,000","-6,341,000,000","-6,341,000,000",,"20,989,000,000","-1,764,000,000","22,753,000,000",,"1,990,000,000","1,990,000,000","4,656,000,000","-2,856,000,000",0,"-2,856,000,000","7,512,000,000","13,743,000,000","-6,231,000,000","-2,666,000,000",,"-2,666,000,000",,,,,"36,599,000,000","106,000,000","16,000,000","36,477,000,000",,"453,000,000","444,000,000","-14,951,000,000",,"13,743,000,000","-9,087,000,000","-2,666,000,000","-17,741,000,000"
12/31/2021,"22,086,000,000","22,086,000,000","14,323,000,000",,,,,"9,802,000,000","9,802,000,000",,,,"-3,623,000,000","-3,623,000,000",,"3,680,000,000",,"-11,867,000,000","9,771,000,000","-6,556,000,000","-6,556,000,000","-1,915,000,000",,"17,322,000,000","7,989,000,000","7,989,000,000","9,333,000,000",,,,"920,000,000","-12,580,000,000","-12,580,000,000","-16,470,000,000","-18,935,000,000","2,465,000,000","-381,000,000","-381,000,000",,"4,271,000,000","-8,266,000,000","12,537,000,000",,"-3,100,000,000","-3,100,000,000","-3,100,000,000","-3,108,000,000","200,000,000","-3,308,000,000","8,000,000","2,667,000,000","-2,659,000,000",,,,,,,,"36,477,000,000","6,406,000,000","-106,000,000","30,177,000,000",,"334,000,000","518,000,000","-18,935,000,000",,"2,867,000,000","-5,967,000,000",,"3,151,000,000"
09/30/2021,"7,313,000,000","7,313,000,000","3,156,000,000",,,,,"8,948,000,000","8,948,000,000",,,,"909,000,000","909,000,000",,"3,180,000,000",,"364,000,000","-9,244,000,000","-4,890,000,000","-4,890,000,000","-7,059,000,000",,"2,367,000,000","3,832,000,000","3,832,000,000","-1,465,000,000",,,,"338,000,000","-14,828,000,000","-14,828,000,000","-14,751,000,000","-15,748,000,000","997,000,000","-654,000,000","-654,000,000",,"577,000,000","-15,231,000,000","15,808,000,000",,"-2,776,000,000","-2,776,000,000","-2,776,000,000","-3,046,000,000","176,000,000","-3,222,000,000","270,000,000","2,187,000,000","-1,917,000,000",,,,,,,,"30,177,000,000","-10,291,000,000","-199,000,000","40,667,000,000",,"750,000,000","445,000,000","-15,748,000,000",,"2,363,000,000","-5,139,000,000",,"-8,435,000,000"
06/30/2021,"12,715,000,000","12,715,000,000","7,778,000,000",,,,,"8,038,000,000","8,038,000,000",,,,"701,000,000","701,000,000",,"3,591,000,000",,"-1,240,000,000","-6,153,000,000","-4,462,000,000","-4,462,000,000","-209,000,000",,"-1,638,000,000","47,000,000","47,000,000","-1,685,000,000",,,,"156,000,000","-22,080,000,000","-22,080,000,000","-12,988,000,000","-14,288,000,000","1,300,000,000","-320,000,000","-320,000,000",,"-8,772,000,000","-21,985,000,000","13,213,000,000",,"15,643,000,000","15,643,000,000","15,643,000,000","15,643,000,000","18,516,000,000","-2,873,000,000",0,"1,176,000,000","-1,176,000,000",,,,,,,,"40,667,000,000","6,278,000,000","234,000,000","34,155,000,000",,"1,803,000,000","343,000,000","-14,288,000,000",,"19,692,000,000","-4,049,000,000",,"-1,573,000,000"
03/31/2021,"4,213,000,000","4,213,000,000","8,107,000,000",,,,,"7,508,000,000","7,508,000,000",,,,"1,703,000,000","1,703,000,000",,"2,306,000,000",,"-1,426,000,000","-13,985,000,000","-2,255,000,000","-2,255,000,000","-304,000,000",,"-12,326,000,000","-8,266,000,000","-8,266,000,000","-4,060,000,000",,,,"900,000,000","-8,666,000,000","-8,666,000,000","-11,187,000,000","-12,082,000,000","895,000,000","-630,000,000","-630,000,000",,"3,151,000,000","-14,675,000,000","17,826,000,000",,"-3,476,000,000","-3,476,000,000","-3,476,000,000","-3,401,000,000","111,000,000","-3,512,000,000","-75,000,000","1,926,000,000","-2,001,000,000",,,,,,,,"34,155,000,000","-7,929,000,000","-293,000,000","42,377,000,000",,"801,000,000","466,000,000","-12,082,000,000",,"2,037,000,000","-5,513,000,000",,"-7,869,000,000"
12/31/2020,"30,431,000,000","30,431,000,000","7,222,000,000",,,,,"7,618,000,000","7,618,000,000",,,,"-1,636,000,000","-1,636,000,000",,"2,562,000,000",,"-1,814,000,000","16,479,000,000","-4,561,000,000","-4,561,000,000","329,000,000",,"20,378,000,000","13,249,000,000","13,249,000,000","7,129,000,000",,,,"333,000,000","-17,037,000,000","-17,037,000,000","-13,194,000,000","-14,823,000,000","1,629,000,000","-380,000,000","-380,000,000",,"-3,463,000,000","-20,801,000,000","17,338,000,000",,"-1,816,000,000","-1,816,000,000","-1,816,000,000","-1,960,000,000","531,000,000","-2,491,000,000","144,000,000","2,435,000,000","-2,291,000,000",,,,,,,,"42,377,000,000","11,578,000,000","597,000,000","30,202,000,000",,"420,000,000","360,000,000","-14,823,000,000",,"2,966,000,000","-4,782,000,000",,"15,608,000,000"
09/30/2020,"11,964,000,000","11,964,000,000","6,331,000,000",,,,,"6,523,000,000","6,523,000,000",,,,"295,000,000","295,000,000",,"2,288,000,000",,"-984,000,000","-2,489,000,000","-2,016,000,000","-2,016,000,000","-3,899,000,000",,"3,348,000,000","3,658,000,000","3,658,000,000","-310,000,000",,,,"78,000,000","-15,876,000,000","-15,876,000,000","-9,808,000,000","-11,063,000,000","1,255,000,000","-1,735,000,000","-1,735,000,000",,"-4,333,000,000","-17,468,000,000","13,135,000,000",,"-4,105,000,000","-4,105,000,000","-4,105,000,000","-4,067,000,000",0,"-4,067,000,000","-38,000,000","1,311,000,000","-1,349,000,000",,,,,,,,"30,202,000,000","-8,017,000,000","377,000,000","37,842,000,000",,"502,000,000","468,000,000","-11,063,000,000",,"1,311,000,000","-5,416,000,000",,"901,000,000"
06/30/2020,"20,606,000,000","20,606,000,000","5,243,000,000",,,,,"5,748,000,000","5,748,000,000",,,,"465,000,000","465,000,000",,"2,601,000,000",,"-487,000,000","7,036,000,000","-2,854,000,000","-2,854,000,000","-672,000,000",,"10,315,000,000","8,616,000,000","8,616,000,000","1,699,000,000",,,,"247,000,000","-17,804,000,000","-17,804,000,000","-6,615,000,000","-7,459,000,000","844,000,000","-118,000,000","-118,000,000",,"-11,071,000,000","-19,209,000,000","8,138,000,000",,"7,408,000,000","7,408,000,000","7,408,000,000","6,881,000,000","9,918,000,000","-3,037,000,000","527,000,000","2,433,000,000","-1,906,000,000",,,,,,,,"37,842,000,000","10,210,000,000","127,000,000","27,505,000,000",,"486,000,000","321,000,000","-7,459,000,000",,"12,351,000,000","-4,943,000,000",,"13,147,000,000"
03/31/2020,"3,064,000,000","3,064,000,000","2,535,000,000",,,,,"5,362,000,000","5,362,000,000",,,,"322,000,000","322,000,000",,"1,757,000,000",,"632,000,000","-7,544,000,000","1,262,000,000","1,262,000,000","1,392,000,000",,"-10,805,000,000","-8,044,000,000","-8,044,000,000","-2,761,000,000",,,,"607,000,000","-8,894,000,000","-8,894,000,000","-5,428,000,000","-6,795,000,000","1,367,000,000","-91,000,000","-91,000,000",,"-3,375,000,000","-15,001,000,000","11,626,000,000",,"-2,591,000,000","-2,591,000,000","-2,591,000,000","-2,591,000,000","693,000,000","-3,284,000,000",,,,,,,,,,,"27,505,000,000","-8,421,000,000","-484,000,000","36,410,000,000",,"305,000,000","480,000,000","-6,795,000,000",,"693,000,000","-3,284,000,000",,"-3,731,000,000"
12/31/2019,"19,659,000,000","19,659,000,000","3,268,000,000",,,,,"6,170,000,000","6,170,000,000",,,,"184,000,000","184,000,000",,"1,840,000,000",,"-445,000,000","8,642,000,000","-3,905,000,000","-3,905,000,000","-1,516,000,000",,"13,577,000,000","10,683,000,000","10,683,000,000","2,894,000,000",,,,"486,000,000","-3,536,000,000","-3,536,000,000","-3,940,000,000","-5,312,000,000","1,372,000,000","-777,000,000","-777,000,000",,"1,181,000,000","-6,444,000,000","7,625,000,000",,"-3,571,000,000","-3,571,000,000","-3,571,000,000","-3,571,000,000","1,098,000,000","-4,669,000,000",,,,,,,,,,,"36,410,000,000","12,552,000,000","304,000,000","23,554,000,000",,"189,000,000","340,000,000","-5,312,000,000",,"1,098,000,000","-4,669,000,000",,"14,347,000,000"
09/30/2019,"7,892,000,000","7,892,000,000","2,134,000,000",,,,,"5,563,000,000","5,563,000,000",,,,"92,000,000","92,000,000",,"1,779,000,000",,"435,000,000","-2,111,000,000","-1,181,000,000","-1,181,000,000","-381,000,000",,"-496,000,000","226,000,000","226,000,000","-722,000,000",,,,"-53,000,000","-5,074,000,000","-5,074,000,000","-3,385,000,000","-4,697,000,000","1,312,000,000","-398,000,000","-398,000,000",,"-1,291,000,000","-8,542,000,000","7,251,000,000",,"-1,960,000,000","-1,960,000,000","-1,960,000,000","-1,960,000,000","702,000,000","-2,662,000,000",,,,,,,,,,,"23,554,000,000","858,000,000","-269,000,000","22,965,000,000",,"241,000,000","468,000,000","-4,697,000,000",,"702,000,000","-2,662,000,000",,"3,195,000,000"
06/30/2019,"9,118,000,000","9,118,000,000","2,625,000,000",,,,,"5,202,000,000","5,202,000,000",,,,"105,000,000","105,000,000",,"1,971,000,000",,"73,000,000","-858,000,000","-2,193,000,000","-2,193,000,000","-2,100,000,000",,"3,045,000,000","3,668,000,000","3,668,000,000","-623,000,000",,,,"390,000,000","-7,549,000,000","-7,549,000,000","-2,643,000,000","-3,562,000,000","919,000,000","-117,000,000","-117,000,000",,"-4,789,000,000","-9,950,000,000","5,161,000,000",,"-2,158,000,000","-2,158,000,000","-2,158,000,000","-2,158,000,000","283,000,000","-2,441,000,000",,,,,,,,,,,"22,965,000,000","-589,000,000","47,000,000","23,507,000,000",,"283,000,000","301,000,000","-3,562,000,000",,"283,000,000","-2,441,000,000",,"5,556,000,000"
03/31/2019,"1,846,000,000","1,846,000,000","3,561,000,000",,,,,"4,854,000,000","4,854,000,000",,,,"415,000,000","415,000,000",,"1,274,000,000",,"-148,000,000","-8,110,000,000","-401,000,000","-401,000,000","719,000,000",,"-9,316,000,000","-6,384,000,000","-6,384,000,000","-2,932,000,000",,,,"888,000,000","-8,123,000,000","-8,123,000,000","-2,721,000,000","-3,290,000,000","569,000,000","-1,169,000,000","-1,169,000,000",,"-4,233,000,000","-6,876,000,000","2,643,000,000",,"-2,377,000,000","-2,377,000,000","-2,377,000,000","-2,377,000,000","190,000,000","-2,567,000,000",,,,,,,,,,,"23,507,000,000","-8,654,000,000","-12,000,000","32,173,000,000",,"168,000,000","453,000,000","-3,290,000,000",,"190,000,000","-2,567,000,000",,"-1,444,000,000"
12/31/2018,"16,477,000,000","16,477,000,000","3,027,000,000",,,,,"4,262,000,000","4,262,000,000",,,,"173,000,000","173,000,000",,"1,417,000,000",,"269,000,000","7,329,000,000","-1,395,000,000","-1,395,000,000","-1,350,000,000",,"9,546,000,000","6,881,000,000","6,881,000,000","2,665,000,000",,,,"528,000,000","-3,572,000,000","-3,572,000,000","-3,120,000,000","-3,734,000,000","614,000,000","-331,000,000","-331,000,000",,"-121,000,000","-2,060,000,000","1,939,000,000",,"-1,761,000,000","-1,761,000,000","-1,761,000,000","-1,761,000,000","405,000,000","-2,166,000,000",,,,,,,,,,,"32,173,000,000","11,144,000,000","-3,000,000","21,032,000,000",,"171,000,000","277,000,000","-3,734,000,000",,"405,000,000","-2,166,000,000",,"12,743,000,000"
09/30/2018,"8,588,000,000","8,588,000,000","2,883,000,000",,,,,"3,778,000,000","3,778,000,000",,,,"266,000,000","266,000,000",,"1,350,000,000",,"158,000,000","153,000,000","-2,884,000,000","-2,884,000,000","-1,094,000,000",,"4,131,000,000","3,894,000,000","3,894,000,000","237,000,000",,,,,"-5,572,000,000","-5,572,000,000","-2,527,000,000","-3,352,000,000","825,000,000","-976,000,000","-976,000,000",,"-2,069,000,000","-4,033,000,000","1,964,000,000",,"-2,369,000,000","-2,369,000,000","-2,369,000,000","-2,369,000,000","143,000,000","-2,512,000,000",,,,,,,,,,,"21,032,000,000","647,000,000","-151,000,000","20,536,000,000",,"200,000,000","448,000,000","-3,352,000,000",,"143,000,000","-2,512,000,000",,"5,236,000,000"
06/30/2018,"7,449,000,000","7,449,000,000","2,534,000,000",,,,,"3,630,000,000","3,630,000,000",,,,"-139,000,000","-139,000,000",,"1,468,000,000",,"195,000,000","-239,000,000","-1,364,000,000","-1,364,000,000","-1,090,000,000",,"2,498,000,000","2,703,000,000","2,703,000,000","-205,000,000",,,,"-283,000,000","-2,692,000,000","-2,692,000,000","-2,949,000,000","-3,243,000,000","294,000,000","-866,000,000","-866,000,000",,"1,123,000,000","-537,000,000","1,660,000,000",,"-1,394,000,000","-1,394,000,000","-1,394,000,000","-1,394,000,000","96,000,000","-1,490,000,000",,,,,,,,,,,"20,536,000,000","3,363,000,000","-443,000,000","17,616,000,000",,"300,000,000","293,000,000","-3,243,000,000",,"96,000,000","-1,490,000,000",,"4,206,000,000"
