name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			OtherGandA,		SellingAndMarketingExpense,	ResearchAndDevelopment,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,			Amortization,				AmortizationOfIntangiblesIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	GainOnSaleOfSecurity,	EarningsFromEquityInterest,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		ImpairmentOfCapitalAssets,		WriteOff,		OtherSpecialCharges,		GainOnSaleOfPPE,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,EarningsFromEquityInterestNetOfTax,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,	OtherunderPreferredStockDividend,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
ttm,"513,983,000,000","513,983,000,000","446,343,000,000","67,640,000,000","55,392,000,000","54,129,000,000","11,891,000,000",,"11,891,000,000","42,238,000,000",,,,,,"1,263,000,000","12,248,000,000","-1,378,000,000","989,000,000","2,367,000,000","-16,806,000,000","-16,266,000,000",,,,,,,,"-540,000,000","-5,936,000,000","-3,217,000,000","-3,000,000","-2,722,000,000","-2,722,000,000","-2,722,000,000","-2,722,000,000",,,"-2,722,000,000",,,,,"12,248,000,000","501,735,000,000","-2,722,000,000","7,037,600,000","989,000,000","2,367,000,000","-1,378,000,000","-3,569,000,000","38,352,000,000","446,343,000,000","41,921,000,000","-2,722,000,000","-16,266,000,000","-16,266,000,000","54,618,000,000",0.4,"-6,506,400,000"
12/31/2022,"149,204,000,000","149,204,000,000","129,557,000,000","19,647,000,000","16,910,000,000","16,151,000,000","3,333,000,000",,"3,333,000,000","12,818,000,000",,,,,,"759,000,000","2,737,000,000","-249,000,000","445,000,000","694,000,000","-3,450,000,000","-3,002,000,000",,,,,,,,"-448,000,000","-962,000,000","-1,227,000,000","13,000,000","278,000,000","278,000,000","278,000,000","278,000,000",,,"278,000,000",0.03,0.03,"10,220,000,000","10,308,000,000","2,737,000,000","146,467,000,000","278,000,000","2,079,200,000","445,000,000","694,000,000","-249,000,000","-268,000,000",,"129,557,000,000","13,145,000,000","278,000,000","-3,002,000,000","-3,002,000,000","15,879,000,000",0.4,"-1,200,800,000"
09/30/2022,"127,101,000,000","127,101,000,000","110,336,000,000","16,765,000,000","14,240,000,000","14,075,000,000","3,061,000,000",,"3,061,000,000","11,014,000,000",,,,,,"165,000,000","2,525,000,000","-340,000,000","277,000,000","617,000,000","759,000,000","777,000,000",,,,,,,,"-18,000,000","2,944,000,000","69,000,000","-3,000,000","2,872,000,000","2,872,000,000","2,872,000,000","2,872,000,000",,,"2,872,000,000",0.28,0.28,"10,191,000,000","10,331,000,000","2,525,000,000","124,576,000,000","2,872,000,000","2,113,210,937.5","277,000,000","617,000,000","-340,000,000","3,561,000,000",,"110,336,000,000","10,204,000,000","2,872,000,000","777,000,000","777,000,000","12,988,000,000",0.023,"18,210,937.5"
06/30/2022,"121,234,000,000","121,234,000,000","104,838,000,000","16,396,000,000","13,079,000,000","12,989,000,000","2,903,000,000",,"2,903,000,000","10,086,000,000",,,,,,"90,000,000","3,317,000,000","-425,000,000","159,000,000","584,000,000","-5,545,000,000","-5,505,000,000",,,,,,,,"-40,000,000","-2,653,000,000","-637,000,000","-12,000,000","-2,028,000,000","-2,028,000,000","-2,028,000,000","-2,028,000,000",,,"-2,028,000,000",-0.2,-0.2,"10,175,000,000","10,175,000,000","3,317,000,000","117,917,000,000","-2,028,000,000","2,155,218,997.361","159,000,000","584,000,000","-425,000,000","-2,069,000,000",,"104,838,000,000","9,594,000,000","-2,028,000,000","-5,505,000,000","-5,505,000,000","13,030,000,000",0.24,"-1,321,781,002.639"
03/31/2022,"116,444,000,000","116,444,000,000","101,612,000,000","14,832,000,000","11,163,000,000","10,914,000,000","2,594,000,000",,"2,594,000,000","8,320,000,000",,,,,,"249,000,000","3,669,000,000","-364,000,000","108,000,000","472,000,000","-8,570,000,000","-8,536,000,000",,,,,,,,"-34,000,000","-5,265,000,000","-1,422,000,000","-1,000,000","-3,844,000,000","-3,844,000,000","-3,844,000,000","-3,844,000,000",,,"-3,844,000,000",-0.378,-0.378,"10,180,000,000","10,180,000,000","3,669,000,000","112,775,000,000","-3,844,000,000","2,386,550,427.35","108,000,000","472,000,000","-364,000,000","-4,793,000,000",,"101,612,000,000","8,978,000,000","-3,844,000,000","-8,536,000,000","-8,536,000,000","12,721,000,000",0.27,"-2,305,449,572.65"
12/31/2021,"137,412,000,000","137,412,000,000","120,593,000,000","16,819,000,000","13,359,000,000","13,335,000,000","2,525,000,000",,"2,525,000,000","10,810,000,000",,,,,,"24,000,000","3,460,000,000","-364,000,000","118,000,000","482,000,000","11,838,000,000","11,873,000,000",,,,,,,,"-35,000,000","14,934,000,000","612,000,000","1,000,000","14,323,000,000","14,323,000,000","14,323,000,000","14,323,000,000",,,"14,323,000,000",1.411,1.388,"10,160,000,000","10,320,000,000","3,460,000,000","133,952,000,000","14,323,000,000","2,936,559,260.747","118,000,000","482,000,000","-364,000,000","15,416,000,000",,"120,593,000,000","9,802,000,000","14,323,000,000","11,873,000,000","11,873,000,000","13,345,000,000",0.041,"486,559,260.747"
09/30/2021,"110,812,000,000","110,812,000,000","95,808,000,000","15,004,000,000","10,152,000,000","10,163,000,000","2,153,000,000",,"2,153,000,000","8,010,000,000",,,,,,"-11,000,000","4,852,000,000","-374,000,000","119,000,000","493,000,000","-163,000,000","-131,000,000",,,,,,,,"-32,000,000","4,315,000,000","1,155,000,000","-4,000,000","3,156,000,000","3,156,000,000","3,156,000,000","3,156,000,000",,,"3,156,000,000",0.312,0.306,"10,140,000,000","10,300,000,000","4,852,000,000","105,960,000,000","3,156,000,000","3,251,935,110.081","119,000,000","493,000,000","-374,000,000","4,808,000,000",,"95,808,000,000","8,948,000,000","3,156,000,000","-131,000,000","-131,000,000","13,887,000,000",0.268,"-35,064,889.919"
06/30/2021,"113,080,000,000","113,080,000,000","95,685,000,000","17,395,000,000","9,693,000,000","9,682,000,000","2,158,000,000",,"2,158,000,000","7,524,000,000",,,,,,"11,000,000","7,702,000,000","-329,000,000","106,000,000","435,000,000","1,261,000,000","1,237,000,000",,,,,,,,"24,000,000","8,634,000,000","868,000,000","12,000,000","7,778,000,000","7,778,000,000","7,778,000,000","7,778,000,000",,,"7,778,000,000",0.77,0.756,"10,100,000,000","10,280,000,000","7,702,000,000","105,378,000,000","7,778,000,000","6,665,359,045.634","106,000,000","435,000,000","-329,000,000","9,069,000,000",,"95,685,000,000","8,038,000,000","7,778,000,000","1,237,000,000","1,237,000,000","15,870,000,000",0.101,"124,359,045.634"
03/31/2021,"108,518,000,000","108,518,000,000","91,421,000,000","17,097,000,000","8,232,000,000","8,194,000,000","1,987,000,000",,"1,987,000,000","6,207,000,000","12,488,000,000",,,,,"38,000,000","8,865,000,000","-294,000,000","105,000,000","399,000,000","1,697,000,000","1,673,000,000",,,,,,,,"24,000,000","10,268,000,000","2,156,000,000","-5,000,000","8,107,000,000","8,107,000,000","8,107,000,000","8,107,000,000",,,"8,107,000,000",0.805,0.79,"10,080,000,000","10,260,000,000","8,865,000,000","99,653,000,000","8,107,000,000","6,785,284,378.652","105,000,000","399,000,000","-294,000,000","10,667,000,000",,"91,421,000,000","7,508,000,000","8,107,000,000","1,673,000,000","1,673,000,000","16,502,000,000",0.21,"351,284,378.652"
12/31/2020,"125,555,000,000","125,555,000,000","109,807,000,000","15,748,000,000","8,875,000,000","9,371,000,000","1,968,000,000",,"1,968,000,000","7,403,000,000","12,049,000,000",,,,,"-496,000,000","6,873,000,000","-314,000,000","100,000,000","414,000,000","1,206,000,000",,,,,,,,,"1,206,000,000","7,765,000,000","565,000,000","22,000,000","7,222,000,000","7,222,000,000","7,222,000,000","7,222,000,000",,,"7,222,000,000",0.719,0.705,"10,040,000,000","10,260,000,000","6,873,000,000","118,682,000,000","7,222,000,000","7,222,000,000","100,000,000","414,000,000","-314,000,000","8,179,000,000",,"109,807,000,000","7,618,000,000","7,222,000,000",,,"15,797,000,000",0.073,0
