name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			OtherGandA,		SellingAndMarketingExpense,	ResearchAndDevelopment,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	EarningsFromEquityInterest,	SpecialIncomeCharges,		OtherSpecialCharges,		GainOnSaleOfBusiness,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeDiscontinuousOperations,	OtherunderPreferredStockDividend,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
ttm,"282,836,000,000","282,836,000,000","126,203,000,000","156,633,000,000","81,791,000,000","42,291,000,000","15,724,000,000",,"15,724,000,000","26,567,000,000","39,500,000,000",,"74,842,000,000","1,817,000,000","2,174,000,000","357,000,000",,"-5,331,000,000","-6,173,000,000","-337,000,000",,,,"1,179,000,000","71,328,000,000","11,356,000,000","59,972,000,000","59,972,000,000","59,972,000,000","59,972,000,000",,,,"59,972,000,000",,,,,"74,842,000,000","207,994,000,000","59,972,000,000","65,163,493,000","2,174,000,000","357,000,000","1,817,000,000","71,685,000,000","87,613,000,000","126,203,000,000","15,928,000,000","59,972,000,000","-6,173,000,000","-6,173,000,000","93,786,000,000",0.159,"-981,507,000"
12/31/2022,"76,048,000,000","76,048,000,000","35,342,000,000","40,706,000,000","22,546,000,000","12,279,000,000","5,096,000,000",,"5,096,000,000","7,183,000,000","10,267,000,000",,"18,160,000,000","569,000,000","659,000,000","90,000,000",,"-1,582,000,000","-1,848,000,000","-31,000,000",,,,"297,000,000","17,147,000,000","3,523,000,000","13,624,000,000","13,624,000,000","13,624,000,000","13,624,000,000",,,,"13,624,000,000",1.06,1.05,"12,897,000,000","12,947,000,000","18,160,000,000","57,888,000,000","13,624,000,000","15,092,312,357.847","659,000,000","90,000,000","569,000,000","17,237,000,000",,"35,342,000,000","4,201,000,000","13,624,000,000","-1,848,000,000","-1,848,000,000","23,286,000,000",0.205,"-379,687,642.153"
09/30/2022,"69,092,000,000","69,092,000,000","31,158,000,000","37,934,000,000","20,799,000,000","10,526,000,000","3,597,000,000",,"3,597,000,000","6,929,000,000","10,273,000,000",,"17,135,000,000","514,000,000","615,000,000","101,000,000",,"-1,416,000,000","-1,514,000,000","-99,000,000",,,,"197,000,000","16,233,000,000","2,323,000,000","13,910,000,000","13,910,000,000","13,910,000,000","13,910,000,000",,,,"13,910,000,000",1.07,1.06,"13,018,000,000","13,097,000,000","17,135,000,000","51,957,000,000","13,910,000,000","15,207,498,000","615,000,000","101,000,000","514,000,000","16,334,000,000",,"31,158,000,000","4,046,000,000","13,910,000,000","-1,514,000,000","-1,514,000,000","21,894,000,000",0.143,"-216,502,000"
06/30/2022,"69,685,000,000","69,685,000,000","30,104,000,000","39,581,000,000","20,128,000,000","10,287,000,000","3,657,000,000",,"3,657,000,000","6,630,000,000","9,841,000,000",,"19,453,000,000","403,000,000","486,000,000","83,000,000",,"-842,000,000","-1,301,000,000","-118,000,000",,,,"577,000,000","19,014,000,000","3,012,000,000","16,002,000,000","16,002,000,000","16,002,000,000","16,002,000,000",,0,"1,072,000,000","17,074,000,000",1.22,1.21,"13,132,994,090","13,238,994,042","19,453,000,000","50,232,000,000","16,002,000,000","17,097,442,000","486,000,000","83,000,000","403,000,000","19,097,000,000",,"30,104,000,000","3,899,000,000","16,002,000,000","-1,301,000,000","-1,301,000,000","24,297,000,000",0.158,"-205,558,000"
03/31/2022,"68,011,000,000","68,011,000,000","29,599,000,000","38,412,000,000","18,318,000,000","9,199,000,000","3,374,000,000",,"3,374,000,000","5,825,000,000","9,119,000,000",,"20,094,000,000","331,000,000","414,000,000","83,000,000",,"-1,491,000,000","-1,510,000,000","-89,000,000",,,,"108,000,000","18,934,000,000","2,498,000,000","16,436,000,000","16,436,000,000","16,436,000,000","16,436,000,000",,,,"16,436,000,000",1.245,1.231,"13,203,414,058","13,351,013,992","20,094,000,000","47,917,000,000","16,436,000,000","17,746,680,000","414,000,000","83,000,000","331,000,000","19,017,000,000",,"29,599,000,000","3,782,000,000","16,436,000,000","-1,510,000,000","-1,510,000,000","24,309,000,000",0.132,"-199,320,000"
12/31/2021,"75,325,000,000","75,325,000,000","32,988,000,000","42,337,000,000","20,452,000,000","11,744,000,000","4,140,000,000",,"4,140,000,000","7,604,000,000","8,708,000,000",,"21,885,000,000","261,000,000","378,000,000","117,000,000",,"2,256,000,000","2,315,000,000","49,000,000",,,,"-108,000,000","24,402,000,000","3,760,000,000","20,642,000,000","20,642,000,000","20,642,000,000","20,642,000,000",,,,"20,642,000,000",1.558,1.535,"13,253,254,036","13,449,853,947","21,885,000,000","53,440,000,000","20,642,000,000","18,683,708,466.519","378,000,000","117,000,000","261,000,000","24,519,000,000",,"32,988,000,000","3,439,000,000","20,642,000,000","2,315,000,000","2,315,000,000","25,643,000,000",0.154,"356,708,466.519"
09/30/2021,"65,118,000,000","65,118,000,000","27,621,000,000","37,497,000,000","16,466,000,000","8,772,000,000","3,256,000,000",,"3,256,000,000","5,516,000,000","7,694,000,000",,"21,031,000,000","310,000,000","387,000,000","77,000,000",,"1,723,000,000","2,019,000,000","188,000,000",,,,"-484,000,000","23,064,000,000","4,128,000,000","18,936,000,000","18,936,000,000","18,936,000,000","18,936,000,000",,,,"18,936,000,000",1.422,1.4,"13,315,154,008","13,530,373,911","21,031,000,000","44,087,000,000","18,936,000,000","17,278,401,000","387,000,000","77,000,000","310,000,000","23,141,000,000",,"27,621,000,000","3,304,000,000","18,936,000,000","2,019,000,000","2,019,000,000","24,426,000,000",0.179,"361,401,000"
06/30/2021,"61,880,000,000","61,880,000,000","26,227,000,000","35,653,000,000","16,292,000,000","8,617,000,000","3,341,000,000",,"3,341,000,000","5,276,000,000","7,675,000,000",,"19,361,000,000","313,000,000","389,000,000","76,000,000",,"2,311,000,000","2,832,000,000","92,000,000",,,,"-613,000,000","21,985,000,000","3,460,000,000","18,525,000,000","18,525,000,000","18,525,000,000","18,525,000,000",,,,"18,525,000,000",1.385,1.363,"13,379,153,979","13,592,233,883","19,361,000,000","42,519,000,000","18,525,000,000","16,137,624,000","389,000,000","76,000,000","313,000,000","22,061,000,000",,"26,227,000,000","2,945,000,000","18,525,000,000","2,832,000,000","2,832,000,000","22,174,000,000",0.157,"444,624,000"
03/31/2021,"55,314,000,000","55,314,000,000","24,103,000,000","31,211,000,000","14,774,000,000","7,289,000,000","2,773,000,000",,"2,773,000,000","4,516,000,000","7,485,000,000",,"16,437,000,000","269,000,000","345,000,000","76,000,000",,"4,577,000,000","4,864,000,000","5,000,000",,,,"-292,000,000","21,283,000,000","3,353,000,000","17,930,000,000","17,930,000,000","17,930,000,000","17,930,000,000",,,,"17,930,000,000",1.332,1.315,"13,464,393,941","13,641,413,861","16,437,000,000","38,877,000,000","17,930,000,000","13,834,512,000","345,000,000","76,000,000","269,000,000","21,359,000,000",,"24,103,000,000","2,753,000,000","17,930,000,000","4,864,000,000","4,864,000,000","19,248,000,000",0.158,"768,512,000"
12/31/2020,"56,898,000,000","56,898,000,000","26,080,000,000","30,818,000,000","15,167,000,000","8,145,000,000","2,831,000,000",,"2,831,000,000","5,314,000,000","7,022,000,000",,"15,651,000,000","333,000,000","386,000,000","53,000,000",,"2,705,000,000","3,175,000,000","355,000,000",0,,,"-825,000,000","18,689,000,000","3,462,000,000","15,227,000,000","15,227,000,000","15,227,000,000","15,227,000,000",,,,"15,227,000,000",1.127,1.115,"13,511,633,919","13,659,373,853","15,651,000,000","41,247,000,000","15,227,000,000","12,640,145,433.142","386,000,000","53,000,000","333,000,000","18,742,000,000",,"26,080,000,000","3,725,000,000","15,227,000,000","3,175,000,000","3,175,000,000","19,292,000,000",0.185,"588,145,433.142"
09/30/2020,"46,173,000,000","46,173,000,000","21,117,000,000","25,056,000,000","13,843,000,000","6,987,000,000","2,756,000,000",,"2,756,000,000","4,231,000,000","6,856,000,000",,"11,213,000,000","412,000,000","460,000,000","48,000,000",,"1,734,000,000","1,931,000,000","26,000,000",0,,,"-223,000,000","13,359,000,000","2,112,000,000","11,247,000,000","11,247,000,000","11,247,000,000","11,247,000,000",,,,"11,247,000,000",0.828,0.82,"13,588,974,564","13,717,014,513","11,213,000,000","34,960,000,000","11,247,000,000","9,621,098,000","460,000,000","48,000,000","412,000,000","13,407,000,000",,"21,117,000,000","3,478,000,000","11,247,000,000","1,931,000,000","1,931,000,000","14,954,000,000",0.158,"305,098,000"
