name,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,"1,170,128,170,000","1,086,045,170,000",20.32,17.153,1.122,4.311,4.633,3.84,12.396
12/31/2022,"1,145,003,890,000","1,057,666,890,000",17.64,16.611,1.251,4.178,4.495,13.908,49.336
09/30/2022,"1,243,730,650,000","1,147,461,650,000",17.905,15.924,1.188,4.63,4.883,16.608,56.303
06/30/2022,"1,427,553,328,500","1,322,004,328,500",19.791,19.231,0.775,5.454,5.631,18.971,57.488
03/31/2022,"1,835,900,727,490","1,724,646,727,490",24.893,24.331,0.975,7.347,7.312,25.358,75.646
12/31/2021,"1,917,098,341,290","1,802,955,341,290",27.887,25.641,0.833,8.229,7.834,23.936,64.488
09/30/2021,"1,774,424,750,440","1,666,545,750,440",28.924,25.381,0.742,8.26,7.457,25.593,63.019
06/30/2021,"1,650,946,771,260","1,542,999,771,260",33.404,31.153,1.459,8.722,7.275,24.935,61.705
03/31/2021,"1,386,127,559,090","1,276,205,559,090",35.295,30.395,1.469,7.786,6.238,23.072,52.928
12/31/2020,"1,183,171,312,840","1,076,996,312,840",33.879,30.581,1.538,7.041,5.556,18.929,47.937
09/30/2020,"994,596,966,400","889,659,966,400",32.334,26.385,1.677,6.136,4.804,19.268,52.689
06/30/2020,"964,510,898,270","864,085,898,270",28.54,33.898,2.889,5.906,4.728,22.563,74.005
03/31/2020,"795,031,530,880","691,323,530,880",23.654,21.368,1.307,5.019,3.948,16.796,63.506
12/31/2019,"921,138,319,230","813,709,319,230",28.704,24.51,1.862,6.036,4.72,17.661,57.571
09/30/2019,"842,955,136,480","735,061,136,480",24.616,21.097,1.563,5.765,4.382,18.15,63.526
06/30/2019,"751,068,984,851","649,852,984,851",27.111,23.419,1.746,5.345,4.089,16.687,43.303
03/31/2019,"816,907,454,560","711,779,454,560",26.849,24.876,1.771,6.031,4.589,19.587,65.942
12/31/2018,"723,558,708,460","621,128,708,460",38.86,21.787,1.061,5.617,4.241,15.814,48.981
09/30/2018,"834,976,811,824","736,703,811,824",51.554,24.814,1.2,6.784,5.127,21.835,59.097
06/30/2018,"779,552,704,564","681,969,704,564",47.273,25.381,0.916,6.702,4.828,20.883,107.295
03/31/2018,"719,414,645,393","621,512,645,393",57.322,25.063,0.939,6.549,4.702,19.955,49.487
12/31/2017,"729,458,189,676","633,279,189,676",35.008,25.381,1.299,7.027,4.628,19.592,62.825
09/30/2017,"669,590,226,398","578,832,226,398",34.776,23.202,1.232,6.773,4.494,20.842,59.264
06/30/2017,"636,867,974,280","548,365,974,280",30.742,22.831,1.246,6.707,4.344,21.083,91.045
03/31/2017,"580,433,607,840","498,035,607,840",29.787,20.202,1.229,6.421,4.129,20.123,59.666
12/31/2016,"539,067,897,721","459,949,897,721",28.241,18.939,1.149,6.297,3.979,17.647,53.626
09/30/2016,"544,870,078,440","470,613,078,440",30.104,19.157,1.237,6.625,4.189,20.962,61.358
06/30/2016,"479,246,481,810","409,190,481,810",29.129,20.619,1.791,6.171,3.847,19.032,53.552
03/31/2016,"517,784,506,950","449,938,506,950",32.616,21.93,1.681,6.884,4.252,22.212,68.903
12/31/2015,"528,168,435,200","460,632,435,200",35.133,22.523,2.107,7.305,4.487,21.597,69.477
09/30/2015,"428,655,184,860","364,108,184,860",30.255,18.282,1.48,6.024,3.743,19.497,59.061
06/30/2015,"363,461,833,080","303,260,833,080",25.845,16.103,1.315,5.28,3.29,17.107,48.787
03/31/2015,"376,199,382,578","317,041,382,578",26.961,16.949,1.637,5.689,3.573,18.371,54.596
12/31/2014,"359,503,564,697","302,585,564,697",14.257,17.762,1.419,2.68,3.618,16.715,52
09/30/2014,"395,352,513,496","339,389,513,496",15.511,19.048,1.27,3.042,4.084,20.54,62.514
06/30/2014,"392,018,013,768","338,882,013,768",15.835,19.048,1.443,3.134,4.234,21.24,61.514
03/31/2014,"375,779,585,437","322,307,585,437",15.408,9.149,0.608,3.146,4.295,20.902,57.741
