,Date,VolatilityIndex,AppleVolatilityIndex,AmazonVolatilityIndex,GoogleVolatilityIndex,SP500Stock,Inflation,DollarIndex,Apple-Close,Apple-Adjusted-Close,Apple-Volume,Amazon-Close,Amazon-Adjusted-Close,Amazon-Volume,Google-Close,Google-Adjusted-Close,Goolge-Volume
1,04/11/2013,12.24,36.03,36.46,27.53,1593.37,2.47,91.6972,15.511786,13.397238,328364400,13.4925,13.4925,61810000,19.685963,19.685963,81452163
2,04/12/2013,12.06,36.10,37.35,27.77,1588.85,2.43,91.7967,15.35,13.257507,238613200,13.6435,13.6435,57326000,19.677494,19.677494,65713390
3,04/15/2013,17.27,41.00,40.80,28.84,1552.36,2.41,91.9457,14.994643,12.950591,317520000,13.386,13.386,66520000,19.475252,19.475252,98491793
4,04/16/2013,13.96,38.39,39.33,27.41,1574.57,2.40,91.8451,15.222857,13.147693,305771200,13.617,13.617,42744000,19.760183,19.760183,69941178
5,04/17/2013,16.51,45.56,40.98,27.10,1552.01,2.37,92.1372,14.385714,12.42467,945056000,13.37,13.37,62702000,19.490944,19.490944,81785407
6,04/18/2013,17.56,45.22,43.36,26.82,1541.61,2.27,92.176,14.001786,12.093081,666299200,12.971,12.971,62752000,19.076248,19.076248,133398142
7,04/19/2013,14.97,43.50,41.48,21.77,1555.25,2.32,92.2166,13.9475,12.046193,609274400,13.016,13.016,52050000,19.922077,19.922077,232998073
8,04/22/2013,14.39,42.71,43.22,20.57,1562.50,2.35,92.3591,14.238214,12.297276,429920400,13.1775,13.1775,42382000,19.928055,19.928055,115768308
9,04/23/2013,13.48,43.28,42.94,20.07,1578.78,2.38,92.3836,14.504643,12.527387,664238400,13.445,13.445,45412000,20.122078,20.122078,92035684
10,04/24/2013,13.61,30.33,43.00,19.30,1578.79,2.38,92.4581,14.480714,12.506718,969651200,13.439,13.439,37056000,20.260309,20.260309,73438237
11,04/25/2013,13.62,28.63,40.05,18.62,1585.16,2.40,92.0394,14.585,12.596789,384837600,13.735,13.735,122330000,20.151964,20.151964,79986690
12,04/26/2013,13.61,26.57,29.15,18.50,1582.24,2.38,91.9012,14.9,12.868846,764097600,12.7405,12.7405,280600000,19.960682,19.960682,99880980
13,04/29/2013,13.71,28.58,30.98,19.08,1593.61,2.37,91.6539,15.361429,13.267377,640326400,12.487,12.487,142340000,20.400036,20.400036,92376959
14,04/30/2013,13.52,28.69,29.91,18.82,1597.57,2.34,91.3741,15.813571,13.657883,691538400,12.6905,12.6905,84976000,20.537271,20.537271,92613843
15,05/01/2013,14.49,29.22,30.78,18.77,1582.70,2.30,91.4331,15.688929,13.550231,506909200,12.4115,12.4115,87828000,20.434158,20.434158,58418148
16,05/02/2013,13.59,27.38,29.72,19.26,1597.59,2.28,91.6174,15.911429,13.742398,421828400,12.6275,12.6275,78724000,20.662802,20.662802,81034603
